outer
-4.864712,-2.17041,5
-4.54396,-2.282671,5
-4.191134,-2.405625,5
-3.907805,-2.507197,5
-3.704665,-2.576694,5
-3.560327,-2.630152,5
-3.36253,-2.52858,5
-3.089893,-2.378897,5
-2.838639,-2.23456,5
-2.603421,-2.100913,5
-2.341477,-1.951231,5
-2.116951,-1.828276,5
-1.844314,-1.667901,5
-1.539601,-1.496834,5
-1.208159,-1.315075,5
-0.8660251,-1.122625,5
-0.5773504,-0.9622505,5
-0.3207502,-0.8179132,5
-0.1229547,-0.71,5
0.1176086,-0.8660257,5
0.4169753,-1.047784,5
0.6949586,-1.208159,5
0.9782877,-1.357842,5
1.272309,-1.507526,5
1.555638,-1.646518,5
1.88708,-1.790855,5
2.27198,-1.945884,5
2.635498,-2.074184,5
2.988322,-2.14368,5
3.367876,-2.181102,5
3.656552,-2.132988,5
3.950573,-1.967267,5
4.18579,-1.716013,5
4.388931,-1.368534,5
4.511886,-0.9408669,5
4.517231,-0.4116303,5
4.447734,-5.960464E-07,5
4.298052,0.4383588,5
4.100256,0.7858381,5
3.774159,1.202813,5
3.432027,1.470104,5
3.052473,1.635827,5
2.656879,1.689284,5
2.282673,1.689285,5
1.903117,1.609097,5
1.50218,1.518217,5
1.101243,1.400609,5
0.6842664,1.250925,5
0.310058,1.106587,5
0.005345419,0.9675953,5
-0.1764134,0.8820624,5
-0.4062829,1.031747,5
-0.7537627,1.272309,5
-1.181429,1.539601,5
-1.555637,1.774819,5
-1.887081,1.988651,5
-2.250597,2.213176,5
-2.726377,2.523234,5
-3.063164,2.742413,5
-3.276998,2.881405,5
-3.699319,2.817255,5
-4.084219,2.74776,5
-4.388931,2.699646,5
-4.511885,2.678264,5
-4.533268,2.432355,5
-4.549305,2.100913,5
-4.378242,1.999342,5
-4.126987,1.838967,5
-3.800889,1.63048,5
-3.469448,1.405954,5
-3.116623,1.186775,5
-2.790526,0.9782884,5
-2.469776,0.7804925,5
-2.127642,0.5613131,5
-1.860351,0.3902463,5
-1.710667,0.2833298,5
-1.571676,0.1817573,5
-1.69463,0.1176093,5
-1.892426,0.01069158,5
-2.26129,-0.1871054,5
-2.571346,-0.3367879,5
-3.00436,-0.5666584,5
-3.469446,-0.8018749,5
-3.923845,-1.026401,5
-4.42635,-1.283,5
-4.811251,-1.47545,5
-4.843328,-1.817585,5
inner
1.240234,-0.02672946,5
1.496835,-0.1817583,5
1.716013,-0.3314424,5
2.063493,-0.5238919,5
2.389589,-0.7056507,5
2.758452,-0.8767169,5
3.06851,-1.005017,5
3.212847,-1.074513,5
3.346493,-0.9889798,5
3.45341,-0.6361549,5
3.480139,-0.3849006,5
3.469448,-0.1443377,5
3.399952,0.1015711,5
3.298381,0.3207505,5
3.143351,0.5880423,5
3.025743,0.689613,5
2.737069,0.6254635,5
2.453738,0.5345833,5
2.154371,0.4330123,5
1.908464,0.3367881,5
1.625135,0.1977969,5
1.405955,0.08553302,5
